SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING
BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-SEP-2024
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-FEB-2025
BAJAJST,Bajaj Steel Industries Limited,EQ,20-APR-2026
BAJEL,Bajel Projects Limited,EQ,19-DEC-2023
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-SEP-2024
BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995
BALUFORGE,Balu Forge Industries Limited,EQ,29-APR-2024
BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018
BANG,Bang Overseas Limited,EQ,20-FEB-2008
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997
BANKINDIA,Bank of India,EQ,30-APR-1997
BANSALWIRE,Bansal Wire Industries Limited,EQ,10-JUL-2024
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007
BASF,BASF India Limited,EQ,17-MAY-1995
BATAINDIA,Bata India Limited,EQ,18-JUN-2003
BATLIBOI,Batliboi Limited,EQ,20-APR-2026
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006
BBOX,Black Box Limited,EQ,22-JUL-2003
BBTC,The Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996
BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022
BCG,Brightcom Group Limited,EQ,08-MAY-2015
BCLIND,Bcl Industries Limited,EQ,04-MAR-2021
BCONCEPTS,Brand Concepts Limited,EQ,11-JAN-2022
BCPL,BCPL Railway Infrastructure Limited,EQ,27-MAR-2026
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018
BEARDSELL,Beardsell Limited,EQ,13-JAN-2015
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020
BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010
BEEKAY,Beekay Steel Industries Limited,EQ,20-APR-2026
BEL,Bharat Electronics Limited,EQ,19-JUL-2000
BELLACASA,Bella Casa Fashion & Retail Limited,EQ,18-JUL-2025
BELRISE,Belrise Industries Limited,EQ,28-MAY-2025
BEML,BEML Limited,EQ,05-NOV-2003
BENGALASM,Bengal & Assam Company Limited,EQ,20-APR-2026
BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999
BESTAGRO,Best Agrolife Limited,EQ,10-APR-2024
BETA,Beta Drugs Limited,EQ,24-NOV-2025
BFINVEST,BF Investment Limited,EQ,14-JAN-2011
BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021
BHARATCOAL,Bharat Coking Coal Limited,EQ,19-JAN-2026
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995
BHARATSE,Bharat Seats Limited,EQ,24-MAR-2025
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-APR-2016
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002
BHARTIHEXA,Bharti Hexacom Limited,EQ,12-APR-2024
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003
BI,Bilcare Limited,EQ,20-APR-2026
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022
BIL,Bhartiya International Limited,EQ,12-APR-2000
